Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1951,4.8475,2.7246,5.1602,,3.9043,,,3.8965,
1952,5.0348,2.7305,5.1538,,3.9023,,,3.8989,
1953,5.9682,2.7441,5.1499,,3.8984,,,3.9019,
1954,4.0946,2.7559,5.1465,,3.9043,,,3.9072,
1955,4.3344,2.7676,5.1436,,3.9004,,,3.9111,
1956,3.5913,2.7813,5.1421,,3.9082,,,3.9175,
1957,4.6816,2.791,5.1406,,3.9102,,,3.9253,
1958,3.6411,2.8066,5.1406,,3.918,,,3.9316,
1959,4.5978,2.8223,5.1421,,3.9258,,,3.9414,
1960,4.6031,2.8398,5.145,,3.9297,,,3.9507,
1961,4.5594,2.8574,5.1489,,3.9414,,,3.9604,
1962,3.6272,2.8711,5.1528,,3.9492,,,3.9717,
1963,3.8565,2.8926,5.1577,,3.9609,,,3.9834,
1964,4.5978,2.9082,5.1646,,3.9727,,,3.9956,
1965,3.868,2.9277,5.1704,,3.9863,,,4.0088,
1966,4.6241,2.9492,5.1797,,4.0039,,,4.0229,
1967,4.1142,2.9668,5.1885,,4.0117,,,4.0376,
1968,3.9686,2.9873,5.2002,,4.0332,,,4.0532,
1969,4.5241,3.0068,5.2109,,4.0469,,,4.0708,
1970,4.0739,3.0264,5.2222,,4.0664,,,4.0874,
1971,4.1349,3.0479,5.2363,,4.0879,,,4.1055,
1972,3.5973,3.0693,5.25,,4.1016,,,4.125,
1973,5.5768,3.0889,5.2676,,4.1289,,,4.1431,
1974,4.0378,3.1113,5.2852,,4.1504,,,4.1646,
1975,5.003,3.1367,5.3027,,4.1719,,,4.1855,
1976,3.6948,3.1611,5.3262,,4.1934,,,4.207,
1977,4.5509,3.1855,5.3535,,4.2168,,,4.2295,
1978,3.4869,3.209,5.373,,4.2422,,,4.2539,
1979,4.9912,3.2344,5.3926,,4.2637,,,4.2773,
1980,3.4598,3.2617,5.418,,4.2949,,,4.3022,
1981,4.7998,3.2871,5.4473,,4.3203,,,4.3286,
1982,4.0302,3.3164,5.4688,,4.3477,,,4.354,
1983,4.9341,3.3457,5.498,,4.375,,,4.3804,
1984,4.6597,3.3721,5.5234,,4.4063,,,4.4097,
1985,3.8455,3.4014,5.5508,,4.4375,,,4.4375,
1986,4.1727,3.4316,5.582,,4.4629,,,4.4658,
1987,4.5953,3.4619,5.6133,,4.5,,,4.4971,
1988,4.3988,3.4941,5.6445,,4.5313,,,4.5273,
1989,3.4957,3.5244,5.6758,,4.5625,,,4.5586,
1990,5.469,3.5566,5.7051,,4.5996,,,4.5913,
1991,5.1135,3.5889,5.7363,,4.625,,,4.624,
1992,3.7597,3.623,5.7734,,4.6641,,,4.6563,
1993,4.0378,3.6563,5.8047,,4.6992,,,4.6919,
1994,4.1286,3.6914,5.8379,,4.7344,,,4.7261,
1995,4.8119,3.7246,5.875,,4.7676,,,4.7617,
1996,4.3818,3.7598,5.9082,,4.8047,,,4.7983,
1997,3.8521,3.7959,5.9434,,4.8438,,,4.8354,
1998,6.245,3.832,5.9805,,4.875,,,4.8716,
1999,5.8867,3.8652,6.0215,,4.918,,,4.9116,
2000,4.3747,3.9023,6.0586,,4.9551,,,4.9497,
2001,5.6643,3.9375,6.0938,,4.9922,,,4.9888,
2002,5.7894,3.9727,6.1309,,5.0332,,,5.0293,
2003,4.4131,4.0039,6.1738,,5.0684,,,5.0703,
2004,4.3363,4.043,6.2109,,5.1113,,,5.1118,
2005,5.3109,4.0723,6.2539,,5.1484,,,5.1543,
2006,6.3194,,,4.1094,5.1875,6.291,4.1406,5.1973,6.271
2007,4.4368,,,4.1445,5.2285,6.334,4.1797,5.2402,6.3169
2008,5.1581,,,4.1777,5.2676,6.3711,4.2207,5.2847,6.3633
2009,4.6941,,,4.2148,5.3125,6.418,4.2617,5.3296,6.4102
2010,6.3015,,,4.2461,5.3477,6.459,4.3047,5.3745,6.4585
2011,5.8774,,,4.2852,5.3945,6.502,4.3477,5.4209,6.5059
2012,6.54,,,4.3203,5.4336,6.543,4.3906,5.4673,6.5547
2013,5.2929,,,4.3535,5.4746,6.5859,4.4307,5.5142,6.605
2014,,,,4.3906,5.5195,6.6309,4.4736,5.5625,6.6567
2015,,,,4.4219,5.5566,6.6719,4.5195,5.6108,6.7085
2016,,,,4.4629,5.6016,6.7168,4.5635,5.6592,6.7617
2017,,,,4.4941,5.6426,6.7578,4.6094,5.7095,6.8145
2018,,,,4.5293,5.6855,6.8027,4.6543,5.7603,6.8687
2019,,,,4.5664,5.7285,6.8438,4.6982,5.8105,6.9229
2020,,,,4.5996,5.7715,6.8926,4.7422,5.8623,6.9785
2021,,,,4.6348,5.8145,6.9395,4.7891,5.9141,7.0356
2022,,,,4.6719,5.8555,6.9805,4.8359,5.9663,7.0928
2023,,,,4.7051,5.8984,7.0234,4.8838,6.0195,7.1514
2024,,,,4.7402,5.9395,7.0664,4.9307,6.0742,7.2095
2025,,,,4.7715,5.9824,7.1133,4.9795,6.1279,7.2695
2026,,,,4.8086,6.0273,7.1602,5.0244,6.1831,7.3291
2027,,,,4.8418,6.0645,7.207,5.0742,6.2393,7.3901
2028,,,,4.875,6.1113,7.252,5.123,6.2949,7.4526
2029,,,,4.9141,6.1523,7.2949,5.1738,6.3516,7.5151
2030,,,,4.9414,6.1934,7.3398,5.2207,6.4082,7.5786
2031,,,,4.9824,6.2363,7.3887,5.2705,6.4653,7.6421
2032,,,,5.0137,6.2773,7.4297,5.3193,6.5244,7.7075
2033,,,,5.0449,6.3203,7.4766,5.3701,6.583,7.772
2034,,,,5.082,6.3574,7.5195,5.4209,6.6416,7.8389
2035,,,,5.1133,6.4043,7.5664,5.4707,6.7026,7.9063
2036,,,,5.1445,6.4414,7.6094,5.5215,6.7637,7.9736
2037,,,,5.1758,6.4844,7.6563,5.5742,6.8237,8.0425
2038,,,,5.209,6.5273,7.7051,5.623,6.8853,8.1108
2039,,,,5.2422,6.5625,7.7461,5.6768,6.9478,8.1802
2040,,,,5.2734,6.6035,7.791,5.7285,7.0093,8.251
2041,,,,5.3027,6.6426,7.834,5.7813,7.0723,8.3228
2042,,,,5.334,6.6816,7.8809,5.832,7.1362,8.395
2043,,,,5.3633,6.7188,7.9238,5.8828,7.1997,8.4683
2044,,,,5.3945,6.7578,7.9688,5.9365,7.2651,8.541
2045,,,,5.4238,6.8008,8.0117,5.9912,7.3296,8.6147
2046,,,,5.4531,6.834,8.0508,6.0449,7.395,8.689
2047,,,,5.4863,6.873,8.0957,6.0977,7.4609,8.7642
2048,,,,5.5098,6.9102,8.1387,6.1514,7.5278,8.8408
2049,,,,5.541,6.9473,8.1855,6.2031,7.5938,8.9175
2050,,,,5.5684,6.9863,8.2227,6.2588,7.6621,8.9956
2051,,,,5.5957,7.0156,8.2637,6.3135,7.7305,9.0728
2052,,,,5.625,7.0566,8.3047,6.3682,7.7979,9.1523
2053,,,,5.6445,7.0898,8.3477,6.4229,7.8672,9.231
2054,,,,5.6738,7.1211,8.3867,6.4766,7.936,9.311
2055,,,,5.6992,7.1543,8.4277,6.5303,8.0059,9.3921
2056,,,,5.7227,7.1855,8.4688,6.5869,8.0757,9.4736
2057,,,,5.748,7.2227,8.5059,6.6426,8.147,9.5562
2058,,,,5.7676,7.25,8.541,6.6992,8.2178,9.6377
2059,,,,5.7949,7.2813,8.584,6.7529,8.2881,9.7207
2060,,,,5.8184,7.3125,8.625,6.8105,8.3613,9.8047
2061,,,,5.8379,7.3418,8.6621,6.8643,8.4336,9.8901
2062,,,,5.8633,7.373,8.6973,6.9199,8.5054,9.9756
