Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1951,1.9712,-0.13574,2.3468,,1.0664,,,1.05,
1952,2.4929,-0.12402,2.3462,,1.0625,,,1.0537,
1953,3.0526,-0.1123,2.3462,,1.0645,,,1.0579,
1954,1.3308,-0.099609,2.3472,,1.0625,,,1.0635,
1955,1.8311,-0.083984,2.3488,,1.0625,,,1.0691,
1956,0.59354,-0.070313,2.3514,,1.0664,,,1.0762,
1957,1.5575,-0.054688,2.3549,,1.0723,,,1.0837,
1958,1.2889,-0.036133,2.3593,,1.0742,,,1.0923,
1959,1.2029,-0.021484,2.3644,,1.0859,,,1.1016,
1960,2.2421,-0.0039063,2.3704,,1.0898,,,1.1111,
1961,2.3122,0.013672,2.3771,,1.0957,,,1.1216,
1962,1.3653,0.03125,2.3848,,1.1113,,,1.1328,
1963,1.1039,0.051758,2.3932,,1.1211,,,1.1453,
1964,1.6633,0.072266,2.4025,,1.1367,,,1.158,
1965,0.67185,0.088867,2.4126,,1.1484,,,1.1721,
1966,2.244,0.10645,2.4237,,1.1621,,,1.1858,
1967,1.0086,0.12305,2.4354,,1.1777,,,1.2009,
1968,1.4298,0.13867,2.4481,,1.1934,,,1.2166,
1969,2.0085,0.1582,2.4617,,1.207,,,1.2334,
1970,1.2059,0.17383,2.476,,1.2266,,,1.251,
1971,1.3678,0.19434,2.4911,,1.248,,,1.2688,
1972,0.06168,0.2168,2.507,,1.2656,,,1.2876,
1973,2.729,0.23438,2.5237,,1.2852,,,1.3069,
1974,0.76343,0.25684,2.5415,,1.3105,,,1.3276,
1975,1.7953,0.27832,2.5598,,1.3281,,,1.3481,
1976,0.34888,0.30176,2.5792,,1.3594,,,1.3699,
1977,1.858,0.3252,2.5994,,1.3809,,,1.3923,
1978,0.60215,0.35059,2.6204,,1.4023,,,1.4158,
1979,2.1333,0.375,2.6421,,1.4336,,,1.4395,
1980,0.70929,0.40234,2.666,,1.457,,,1.4639,
1981,2.4584,0.42578,2.6895,,1.4824,,,1.489,
1982,1.1578,0.4541,2.7168,,1.5137,,,1.5146,
1983,2.3529,0.48438,2.7441,,1.541,,,1.5417,
1984,2.0278,0.50977,2.7754,,1.5703,,,1.5693,
1985,0.80832,0.54102,2.8008,,1.6016,,,1.5977,
1986,1.2663,0.57129,2.832,,1.6328,,,1.6265,
1987,2.5626,0.60059,2.8633,,1.6641,,,1.6558,
1988,1.7677,0.63379,2.8945,,1.6992,,,1.6858,
1989,0.55738,0.66602,2.9297,,1.7285,,,1.7168,
1990,2.2715,0.69824,2.959,,1.7617,,,1.7488,
1991,1.9324,0.7334,2.9941,,1.7969,,,1.781,
1992,0.70298,0.76367,3.0273,,1.832,,,1.8145,
1993,1.1401,0.7998,3.0625,,1.8691,,,1.8477,
1994,1.3331,0.83691,3.1016,,1.9023,,,1.8821,
1995,2.0656,0.87012,3.1348,,1.9336,,,1.917,
1996,1.758,0.90723,3.1719,,1.9785,,,1.9529,
1997,1.0144,0.94531,3.209,,2.0137,,,1.9897,
1998,3.8155,0.98145,3.2461,,2.0488,,,2.0269,
1999,3.3655,1.0215,3.2852,,2.0898,,,2.0649,
2000,2.0516,1.0605,3.3242,,2.127,,,2.1033,
2001,3.4478,1.0986,3.3633,,2.1641,,,2.1426,
2002,2.5186,1.1406,3.4023,,2.207,,,2.1824,
2003,1.7779,1.1777,3.4434,,2.2422,,,2.2231,
2004,1.3604,1.2178,3.4844,,2.2832,,,2.2644,
2005,2.9752,1.25,3.5254,,2.3242,,,2.3069,
2006,3.8569,,,1.2842,2.3613,3.5625,1.3047,2.3496,3.5428
2007,2.1452,,,1.3184,2.4043,3.6094,1.3486,2.3923,3.5878
2008,2.3472,,,1.3545,2.4473,3.6523,1.3896,2.4368,3.6335
2009,2.1632,,,1.3896,2.4883,3.6934,1.4346,2.4807,3.6799
2010,4.3444,,,1.4238,2.5293,3.7383,1.4795,2.5264,3.7275
2011,3.0954,,,1.457,2.5742,3.7773,1.5234,2.5725,3.7756
2012,3.7618,,,1.4922,2.6133,3.8242,1.5693,2.6191,3.8247
2013,2.503,,,1.5273,2.6582,3.8691,1.6162,2.667,3.8744
2014,,,,1.5645,2.6992,3.9121,1.6592,2.7141,3.925
2015,,,,1.5967,2.7422,3.9531,1.707,2.7629,3.9764
2016,,,,1.6318,2.7871,3.998,1.7559,2.8123,4.0287
2017,,,,1.666,2.8281,4.043,1.8027,2.8621,4.082
2018,,,,1.7021,2.873,4.0918,1.8516,2.9128,4.1359
2019,,,,1.7354,2.916,4.1348,1.8984,2.9644,4.1904
2020,,,,1.7715,2.959,4.1797,1.9482,3.0164,4.2461
2021,,,,1.8066,3.002,4.2227,1.999,3.0686,4.3025
2022,,,,1.8398,3.0449,4.2715,2.0479,3.1216,4.3597
2023,,,,1.876,3.0859,4.3184,2.0986,3.1758,4.4177
2024,,,,1.9111,3.1289,4.3633,2.1514,3.23,4.4764
2025,,,,1.9453,3.1738,4.4063,2.1982,3.2856,4.536
2026,,,,1.9785,3.2168,4.4531,2.251,3.3411,4.5966
2027,,,,2.0117,3.2617,4.502,2.3047,3.3975,4.6577
2028,,,,2.0449,3.3047,4.5488,2.3555,3.4548,4.7198
2029,,,,2.082,3.3457,4.5957,2.4102,3.5117,4.7827
2030,,,,2.1162,3.3926,4.6387,2.4629,3.5703,4.8464
2031,,,,2.1484,3.4316,4.6836,2.5146,3.6294,4.9109
2032,,,,2.1816,3.4707,4.7305,2.5703,3.689,4.9762
2033,,,,2.2148,3.5195,4.7813,2.625,3.7493,5.0425
2034,,,,2.248,3.5586,4.8223,2.6777,3.8101,5.1094
2035,,,,2.2822,3.6035,4.8691,2.7344,3.8716,5.1771
2036,,,,2.3145,3.6465,4.9121,2.7881,3.9336,5.2458
2037,,,,2.3457,3.6836,4.9609,2.8447,3.9963,5.3152
2038,,,,2.3789,3.7285,5.0059,2.9023,4.0598,5.3854
2039,,,,2.4111,3.7695,5.0527,2.9551,4.1238,5.4563
2040,,,,2.4434,3.8066,5.0938,3.0146,4.1885,5.5281
2041,,,,2.4746,3.8477,5.1387,3.0693,4.2534,5.6008
2042,,,,2.5059,3.8887,5.1836,3.127,4.3193,5.6742
2043,,,,2.5352,3.9277,5.2324,3.1855,4.385,5.7484
2044,,,,2.5664,3.9688,5.2734,3.2432,4.4524,5.8236
2045,,,,2.5986,4.0098,5.3184,3.3008,4.52,5.8994
2046,,,,2.627,4.043,5.3574,3.3604,4.5881,5.9761
2047,,,,2.6572,4.0898,5.4063,3.417,4.657,6.0537
2048,,,,2.6855,4.123,5.4492,3.4766,4.7263,6.132
2049,,,,2.7148,4.1563,5.4883,3.5371,4.7959,6.2112
2050,,,,2.7451,4.1992,5.5313,3.5947,4.8667,6.2909
2051,,,,2.7734,4.2324,5.5703,3.6553,4.9382,6.3717
2052,,,,2.7988,4.2695,5.6152,3.7148,5.0103,6.4532
2053,,,,2.8262,4.3066,5.6582,3.7734,5.0825,6.5355
2054,,,,2.8545,4.3398,5.6992,3.835,5.155,6.6187
2055,,,,2.8799,4.373,5.7363,3.8955,5.2288,6.7028
2056,,,,2.9082,4.4102,5.7754,3.9551,5.303,6.7874
2057,,,,2.9326,4.4395,5.8164,4.0166,5.3772,6.873
2058,,,,2.9561,4.4727,5.8594,4.0762,5.4531,6.9595
2059,,,,2.9834,4.5059,5.8945,4.1377,5.5291,7.0466
2060,,,,3.0049,4.5332,5.9316,4.2012,5.6057,7.1346
2061,,,,3.0303,4.5664,5.9707,4.2607,5.6824,7.2234
2062,,,,3.0537,4.5977,6.0078,4.3232,5.7603,7.3129
2063,,,,3.0752,4.625,6.0449,4.3848,5.8379,7.4034
2064,,,,3.0967,4.6563,6.0801,4.4473,5.9172,7.4945
2065,,,,3.1191,4.6836,6.1113,4.5107,5.9963,7.5865
2066,,,,3.1426,4.707,6.1465,4.5732,6.0764,7.6794
2067,,,,3.1621,4.7383,6.1816,4.6338,6.1572,7.7731
2068,,,,3.1797,4.7637,6.2148,4.6982,6.2383,7.8674
2069,,,,3.1992,4.7891,6.248,4.7588,6.3201,7.9625
2070,,,,3.2197,4.8145,6.2754,4.8223,6.4016,8.0585
2071,,,,3.2393,4.832,6.3125,4.8867,6.4844,8.1554
2072,,,,3.2568,4.8574,6.3379,4.9473,6.5679,8.2531
2073,,,,3.2725,4.8809,6.373,5.0117,6.6519,8.3513
2074,,,,3.2871,4.8965,6.3984,5.0742,6.7366,8.4506
2075,,,,3.3037,4.916,6.4238,5.1377,6.8213,8.5505
2076,,,,3.3213,4.9375,6.4551,5.2021,6.9065,8.6516
2077,,,,3.334,4.9531,6.4824,5.2656,6.9924,8.7532
2078,,,,3.3477,4.9707,6.5078,5.3271,7.0796,8.8555
2079,,,,3.3584,4.9883,6.5293,5.3916,7.167,8.9587
2080,,,,3.3721,4.9961,6.5547,5.4531,7.2546,9.0629
2081,,,,3.3848,5.0117,6.5781,5.5195,7.343,9.1676
2082,,,,3.3945,5.0273,6.6035,5.585,7.4319,9.2733
2083,,,,3.4033,5.0352,6.6211,5.6445,7.5208,9.3796
2084,,,,3.4131,5.0527,6.6387,5.7109,7.6104,9.4868
2085,,,,3.4229,5.0586,6.6582,5.7734,7.7014,9.5947
2086,,,,3.4326,5.0664,6.6777,5.8359,7.7925,9.7036
2087,,,,3.4375,5.0762,6.6992,5.9023,7.8838,9.8132
2088,,,,3.4434,5.0781,6.7129,5.9639,7.9756,9.9235
2089,,,,3.4482,5.0859,6.7246,6.0273,8.0684,10.0347
2090,,,,3.4541,5.0879,6.7402,6.0918,8.1609,10.1466
