"landtype","spp","poolID","amountAtT0"
"18","ABIE.BAL","1",14
"18","ABIE.BAL","2",5
"18","ABIE.BAL","3",9
"18","ABIE.BAL","4",5
"18","ABIE.BAL","5",15
"18","ABIE.BAL","6",90
"18","ABIE.BAL","7",327
"18","ABIE.BAL","8",6
"18","ABIE.BAL","9",1
"18","ABIE.BAL","10",0
"19","ABIE.BAL","1",18
"19","ABIE.BAL","2",6
"19","ABIE.BAL","3",11
"19","ABIE.BAL","4",6
"19","ABIE.BAL","5",18
"19","ABIE.BAL","6",105
"19","ABIE.BAL","7",370
"19","ABIE.BAL","8",7
"19","ABIE.BAL","9",1
"19","ABIE.BAL","10",0
"20","ABIE.BAL","1",14
"20","ABIE.BAL","2",5
"20","ABIE.BAL","3",8
"20","ABIE.BAL","4",5
"20","ABIE.BAL","5",13
"20","ABIE.BAL","6",79
"20","ABIE.BAL","7",292
"20","ABIE.BAL","8",5
"20","ABIE.BAL","9",1
"20","ABIE.BAL","10",0
"21","ABIE.BAL","1",15
"21","ABIE.BAL","2",5
"21","ABIE.BAL","3",10
"21","ABIE.BAL","4",5
"21","ABIE.BAL","5",16
"21","ABIE.BAL","6",91
"21","ABIE.BAL","7",329
"21","ABIE.BAL","8",6
"21","ABIE.BAL","9",1
"21","ABIE.BAL","10",0
"69","ABIE.BAL","1",22
"69","ABIE.BAL","2",8
"69","ABIE.BAL","3",12
"69","ABIE.BAL","4",8
"69","ABIE.BAL","5",28
"69","ABIE.BAL","6",132
"69","ABIE.BAL","7",453
"69","ABIE.BAL","8",8
"69","ABIE.BAL","9",1
"69","ABIE.BAL","10",0
"70","ABIE.BAL","1",19
"70","ABIE.BAL","2",7
"70","ABIE.BAL","3",10
"70","ABIE.BAL","4",7
"70","ABIE.BAL","5",22
"70","ABIE.BAL","6",107
"70","ABIE.BAL","7",373
"70","ABIE.BAL","8",7
"70","ABIE.BAL","9",0
"70","ABIE.BAL","10",0
"71","ABIE.BAL","1",21
"71","ABIE.BAL","2",6
"71","ABIE.BAL","3",11
"71","ABIE.BAL","4",6
"71","ABIE.BAL","5",19
"71","ABIE.BAL","6",99
"71","ABIE.BAL","7",347
"71","ABIE.BAL","8",7
"71","ABIE.BAL","9",2
"71","ABIE.BAL","10",0
"72","ABIE.BAL","1",23
"72","ABIE.BAL","2",7
"72","ABIE.BAL","3",12
"72","ABIE.BAL","4",7
"72","ABIE.BAL","5",24
"72","ABIE.BAL","6",116
"72","ABIE.BAL","7",400
"72","ABIE.BAL","8",8
"72","ABIE.BAL","9",2
"72","ABIE.BAL","10",0
"18","ACER.RUB","1",15
"18","ACER.RUB","2",2
"18","ACER.RUB","3",14
"18","ACER.RUB","4",2
"18","ACER.RUB","5",5
"18","ACER.RUB","6",89
"18","ACER.RUB","7",284
"18","ACER.RUB","8",3
"18","ACER.RUB","9",3
"18","ACER.RUB","10",0
"19","ACER.RUB","1",14
"19","ACER.RUB","2",2
"19","ACER.RUB","3",15
"19","ACER.RUB","4",3
"19","ACER.RUB","5",5
"19","ACER.RUB","6",88
"19","ACER.RUB","7",281
"19","ACER.RUB","8",3
"19","ACER.RUB","9",3
"19","ACER.RUB","10",0
"20","ACER.RUB","1",13
"20","ACER.RUB","2",2
"20","ACER.RUB","3",17
"20","ACER.RUB","4",3
"20","ACER.RUB","5",6
"20","ACER.RUB","6",97
"20","ACER.RUB","7",302
"20","ACER.RUB","8",4
"20","ACER.RUB","9",4
"20","ACER.RUB","10",0
"21","ACER.RUB","1",13
"21","ACER.RUB","2",2
"21","ACER.RUB","3",14
"21","ACER.RUB","4",2
"21","ACER.RUB","5",4
"21","ACER.RUB","6",83
"21","ACER.RUB","7",267
"21","ACER.RUB","8",2
"21","ACER.RUB","9",3
"21","ACER.RUB","10",0
"69","ACER.RUB","1",8
"69","ACER.RUB","2",2
"69","ACER.RUB","3",5
"69","ACER.RUB","4",3
"69","ACER.RUB","5",0
"69","ACER.RUB","6",57
"69","ACER.RUB","7",220
"69","ACER.RUB","8",0
"69","ACER.RUB","9",0
"69","ACER.RUB","10",0
"70","ACER.RUB","1",8
"70","ACER.RUB","2",2
"70","ACER.RUB","3",4
"70","ACER.RUB","4",3
"70","ACER.RUB","5",0
"70","ACER.RUB","6",60
"70","ACER.RUB","7",235
"70","ACER.RUB","8",0
"70","ACER.RUB","9",0
"70","ACER.RUB","10",0
"71","ACER.RUB","1",10
"71","ACER.RUB","2",2
"71","ACER.RUB","3",6
"71","ACER.RUB","4",3
"71","ACER.RUB","5",1
"71","ACER.RUB","6",67
"71","ACER.RUB","7",238
"71","ACER.RUB","8",1
"71","ACER.RUB","9",1
"71","ACER.RUB","10",0
"72","ACER.RUB","1",10
"72","ACER.RUB","2",2
"72","ACER.RUB","3",6
"72","ACER.RUB","4",3
"72","ACER.RUB","5",0
"72","ACER.RUB","6",60
"72","ACER.RUB","7",228
"72","ACER.RUB","8",0
"72","ACER.RUB","9",1
"72","ACER.RUB","10",0
"18","ACER.SAH","1",10
"18","ACER.SAH","2",1
"18","ACER.SAH","3",62
"18","ACER.SAH","4",3
"18","ACER.SAH","5",134
"18","ACER.SAH","6",558
"18","ACER.SAH","7",1286
"18","ACER.SAH","8",69
"18","ACER.SAH","9",13
"18","ACER.SAH","10",0
"19","ACER.SAH","1",17
"19","ACER.SAH","2",2
"19","ACER.SAH","3",67
"19","ACER.SAH","4",4
"19","ACER.SAH","5",113
"19","ACER.SAH","6",509
"19","ACER.SAH","7",1181
"19","ACER.SAH","8",57
"19","ACER.SAH","9",15
"19","ACER.SAH","10",0
"20","ACER.SAH","1",10
"20","ACER.SAH","2",1
"20","ACER.SAH","3",50
"20","ACER.SAH","4",3
"20","ACER.SAH","5",98
"20","ACER.SAH","6",391
"20","ACER.SAH","7",942
"20","ACER.SAH","8",51
"20","ACER.SAH","9",11
"20","ACER.SAH","10",0
"21","ACER.SAH","1",11
"21","ACER.SAH","2",1
"21","ACER.SAH","3",65
"21","ACER.SAH","4",3
"21","ACER.SAH","5",117
"21","ACER.SAH","6",507
"21","ACER.SAH","7",1170
"21","ACER.SAH","8",61
"21","ACER.SAH","9",14
"21","ACER.SAH","10",0
"69","ACER.SAH","1",28
"69","ACER.SAH","2",4
"69","ACER.SAH","3",96
"69","ACER.SAH","4",10
"69","ACER.SAH","5",153
"69","ACER.SAH","6",585
"69","ACER.SAH","7",1310
"69","ACER.SAH","8",101
"69","ACER.SAH","9",21
"69","ACER.SAH","10",0
"70","ACER.SAH","1",22
"70","ACER.SAH","2",4
"70","ACER.SAH","3",77
"70","ACER.SAH","4",8
"70","ACER.SAH","5",130
"70","ACER.SAH","6",496
"70","ACER.SAH","7",1129
"70","ACER.SAH","8",82
"70","ACER.SAH","9",15
"70","ACER.SAH","10",0
"71","ACER.SAH","1",21
"71","ACER.SAH","2",3
"71","ACER.SAH","3",73
"71","ACER.SAH","4",7
"71","ACER.SAH","5",91
"71","ACER.SAH","6",411
"71","ACER.SAH","7",948
"71","ACER.SAH","8",65
"71","ACER.SAH","9",17
"71","ACER.SAH","10",0
"72","ACER.SAH","1",29
"72","ACER.SAH","2",4
"72","ACER.SAH","3",87
"72","ACER.SAH","4",8
"72","ACER.SAH","5",113
"72","ACER.SAH","6",516
"72","ACER.SAH","7",1172
"72","ACER.SAH","8",78
"72","ACER.SAH","9",19
"72","ACER.SAH","10",0
"18","BETU.ALL","1",11
"18","BETU.ALL","2",1
"18","BETU.ALL","3",7
"18","BETU.ALL","4",2
"18","BETU.ALL","5",7
"18","BETU.ALL","6",59
"18","BETU.ALL","7",190
"18","BETU.ALL","8",5
"18","BETU.ALL","9",1
"18","BETU.ALL","10",0
"19","BETU.ALL","1",12
"19","BETU.ALL","2",1
"19","BETU.ALL","3",10
"19","BETU.ALL","4",2
"19","BETU.ALL","5",5
"19","BETU.ALL","6",63
"19","BETU.ALL","7",203
"19","BETU.ALL","8",4
"19","BETU.ALL","9",2
"19","BETU.ALL","10",0
"20","BETU.ALL","1",9
"20","BETU.ALL","2",1
"20","BETU.ALL","3",10
"20","BETU.ALL","4",2
"20","BETU.ALL","5",7
"20","BETU.ALL","6",69
"20","BETU.ALL","7",217
"20","BETU.ALL","8",5
"20","BETU.ALL","9",2
"20","BETU.ALL","10",0
"21","BETU.ALL","1",10
"21","BETU.ALL","2",1
"21","BETU.ALL","3",8
"21","BETU.ALL","4",2
"21","BETU.ALL","5",6
"21","BETU.ALL","6",64
"21","BETU.ALL","7",201
"21","BETU.ALL","8",4
"21","BETU.ALL","9",2
"21","BETU.ALL","10",0
"69","BETU.ALL","1",9
"69","BETU.ALL","2",2
"69","BETU.ALL","3",5
"69","BETU.ALL","4",2
"69","BETU.ALL","5",0
"69","BETU.ALL","6",57
"69","BETU.ALL","7",211
"69","BETU.ALL","8",0
"69","BETU.ALL","9",1
"69","BETU.ALL","10",0
"70","BETU.ALL","1",9
"70","BETU.ALL","2",2
"70","BETU.ALL","3",4
"70","BETU.ALL","4",3
"70","BETU.ALL","5",0
"70","BETU.ALL","6",57
"70","BETU.ALL","7",217
"70","BETU.ALL","8",0
"70","BETU.ALL","9",0
"70","BETU.ALL","10",0
"71","BETU.ALL","1",10
"71","BETU.ALL","2",1
"71","BETU.ALL","3",7
"71","BETU.ALL","4",2
"71","BETU.ALL","5",1
"71","BETU.ALL","6",58
"71","BETU.ALL","7",203
"71","BETU.ALL","8",1
"71","BETU.ALL","9",1
"71","BETU.ALL","10",0
"72","BETU.ALL","1",11
"72","BETU.ALL","2",2
"72","BETU.ALL","3",7
"72","BETU.ALL","4",2
"72","BETU.ALL","5",1
"72","BETU.ALL","6",59
"72","BETU.ALL","7",212
"72","BETU.ALL","8",0
"72","BETU.ALL","9",1
"72","BETU.ALL","10",0
"18","BETU.PAP","1",7
"18","BETU.PAP","2",3
"18","BETU.PAP","3",4
"18","BETU.PAP","4",3
"18","BETU.PAP","5",6
"18","BETU.PAP","6",48
"18","BETU.PAP","7",171
"18","BETU.PAP","8",2
"18","BETU.PAP","9",0
"18","BETU.PAP","10",0
"19","BETU.PAP","1",9
"19","BETU.PAP","2",3
"19","BETU.PAP","3",5
"19","BETU.PAP","4",3
"19","BETU.PAP","5",7
"19","BETU.PAP","6",58
"19","BETU.PAP","7",196
"19","BETU.PAP","8",2
"19","BETU.PAP","9",1
"19","BETU.PAP","10",0
"20","BETU.PAP","1",8
"20","BETU.PAP","2",3
"20","BETU.PAP","3",4
"20","BETU.PAP","4",3
"20","BETU.PAP","5",4
"20","BETU.PAP","6",47
"20","BETU.PAP","7",167
"20","BETU.PAP","8",1
"20","BETU.PAP","9",0
"20","BETU.PAP","10",0
"21","BETU.PAP","1",7
"21","BETU.PAP","2",2
"21","BETU.PAP","3",3
"21","BETU.PAP","4",3
"21","BETU.PAP","5",3
"21","BETU.PAP","6",39
"21","BETU.PAP","7",144
"21","BETU.PAP","8",1
"21","BETU.PAP","9",0
"21","BETU.PAP","10",0
"69","BETU.PAP","1",15
"69","BETU.PAP","2",6
"69","BETU.PAP","3",8
"69","BETU.PAP","4",6
"69","BETU.PAP","5",6
"69","BETU.PAP","6",83
"69","BETU.PAP","7",296
"69","BETU.PAP","8",2
"69","BETU.PAP","9",1
"69","BETU.PAP","10",0
"70","BETU.PAP","1",13
"70","BETU.PAP","2",4
"70","BETU.PAP","3",6
"70","BETU.PAP","4",5
"70","BETU.PAP","5",3
"70","BETU.PAP","6",60
"70","BETU.PAP","7",225
"70","BETU.PAP","8",1
"70","BETU.PAP","9",0
"70","BETU.PAP","10",0
"71","BETU.PAP","1",13
"71","BETU.PAP","2",4
"71","BETU.PAP","3",6
"71","BETU.PAP","4",5
"71","BETU.PAP","5",4
"71","BETU.PAP","6",61
"71","BETU.PAP","7",229
"71","BETU.PAP","8",1
"71","BETU.PAP","9",0
"71","BETU.PAP","10",0
"72","BETU.PAP","1",14
"72","BETU.PAP","2",5
"72","BETU.PAP","3",7
"72","BETU.PAP","4",6
"72","BETU.PAP","5",6
"72","BETU.PAP","6",79
"72","BETU.PAP","7",287
"72","BETU.PAP","8",2
"72","BETU.PAP","9",1
"72","BETU.PAP","10",0
"18","FAGU.GRA","1",22
"18","FAGU.GRA","2",3
"18","FAGU.GRA","3",90
"18","FAGU.GRA","4",5
"18","FAGU.GRA","5",175
"18","FAGU.GRA","6",497
"18","FAGU.GRA","7",1165
"18","FAGU.GRA","8",97
"18","FAGU.GRA","9",41
"18","FAGU.GRA","10",0
"19","FAGU.GRA","1",31
"19","FAGU.GRA","2",3
"19","FAGU.GRA","3",110
"19","FAGU.GRA","4",7
"19","FAGU.GRA","5",212
"19","FAGU.GRA","6",551
"19","FAGU.GRA","7",1250
"19","FAGU.GRA","8",128
"19","FAGU.GRA","9",52
"19","FAGU.GRA","10",0
"20","FAGU.GRA","1",29
"20","FAGU.GRA","2",3
"20","FAGU.GRA","3",107
"20","FAGU.GRA","4",7
"20","FAGU.GRA","5",192
"20","FAGU.GRA","6",519
"20","FAGU.GRA","7",1177
"20","FAGU.GRA","8",124
"20","FAGU.GRA","9",51
"20","FAGU.GRA","10",0
"21","FAGU.GRA","1",23
"21","FAGU.GRA","2",3
"21","FAGU.GRA","3",100
"21","FAGU.GRA","4",6
"21","FAGU.GRA","5",170
"21","FAGU.GRA","6",484
"21","FAGU.GRA","7",1106
"21","FAGU.GRA","8",101
"21","FAGU.GRA","9",45
"21","FAGU.GRA","10",0
"69","FAGU.GRA","1",9
"69","FAGU.GRA","2",1
"69","FAGU.GRA","3",31
"69","FAGU.GRA","4",3
"69","FAGU.GRA","5",81
"69","FAGU.GRA","6",253
"69","FAGU.GRA","7",610
"69","FAGU.GRA","8",45
"69","FAGU.GRA","9",7
"69","FAGU.GRA","10",0
"70","FAGU.GRA","1",7
"70","FAGU.GRA","2",1
"70","FAGU.GRA","3",30
"70","FAGU.GRA","4",2
"70","FAGU.GRA","5",100
"70","FAGU.GRA","6",264
"70","FAGU.GRA","7",614
"70","FAGU.GRA","8",51
"70","FAGU.GRA","9",6
"70","FAGU.GRA","10",0
"71","FAGU.GRA","1",13
"71","FAGU.GRA","2",2
"71","FAGU.GRA","3",42
"71","FAGU.GRA","4",3
"71","FAGU.GRA","5",142
"71","FAGU.GRA","6",342
"71","FAGU.GRA","7",772
"71","FAGU.GRA","8",80
"71","FAGU.GRA","9",13
"71","FAGU.GRA","10",0
"72","FAGU.GRA","1",14
"72","FAGU.GRA","2",2
"72","FAGU.GRA","3",42
"72","FAGU.GRA","4",3
"72","FAGU.GRA","5",143
"72","FAGU.GRA","6",355
"72","FAGU.GRA","7",806
"72","FAGU.GRA","8",77
"72","FAGU.GRA","9",12
"72","FAGU.GRA","10",0
"18","LARI.LAR","1",7
"18","LARI.LAR","2",1
"18","LARI.LAR","3",2
"18","LARI.LAR","4",1
"18","LARI.LAR","5",1
"18","LARI.LAR","6",9
"18","LARI.LAR","7",36
"18","LARI.LAR","8",0
"18","LARI.LAR","9",2
"18","LARI.LAR","10",0
"19","LARI.LAR","1",11
"19","LARI.LAR","2",1
"19","LARI.LAR","3",2
"19","LARI.LAR","4",1
"19","LARI.LAR","5",0
"19","LARI.LAR","6",8
"19","LARI.LAR","7",34
"19","LARI.LAR","8",0
"19","LARI.LAR","9",1
"19","LARI.LAR","10",0
"20","LARI.LAR","1",17
"20","LARI.LAR","2",2
"20","LARI.LAR","3",3
"20","LARI.LAR","4",1
"20","LARI.LAR","5",1
"20","LARI.LAR","6",12
"20","LARI.LAR","7",46
"20","LARI.LAR","8",1
"20","LARI.LAR","9",3
"20","LARI.LAR","10",0
"21","LARI.LAR","1",16
"21","LARI.LAR","2",2
"21","LARI.LAR","3",3
"21","LARI.LAR","4",1
"21","LARI.LAR","5",1
"21","LARI.LAR","6",13
"21","LARI.LAR","7",52
"21","LARI.LAR","8",0
"21","LARI.LAR","9",2
"21","LARI.LAR","10",0
"69","LARI.LAR","1",5
"69","LARI.LAR","2",0
"69","LARI.LAR","3",1
"69","LARI.LAR","4",1
"69","LARI.LAR","5",1
"69","LARI.LAR","6",17
"69","LARI.LAR","7",72
"69","LARI.LAR","8",0
"69","LARI.LAR","9",0
"69","LARI.LAR","10",0
"70","LARI.LAR","1",11
"70","LARI.LAR","2",1
"70","LARI.LAR","3",1
"70","LARI.LAR","4",1
"70","LARI.LAR","5",1
"70","LARI.LAR","6",22
"70","LARI.LAR","7",92
"70","LARI.LAR","8",0
"70","LARI.LAR","9",0
"70","LARI.LAR","10",0
"71","LARI.LAR","1",18
"71","LARI.LAR","2",2
"71","LARI.LAR","3",4
"71","LARI.LAR","4",2
"71","LARI.LAR","5",2
"71","LARI.LAR","6",24
"71","LARI.LAR","7",96
"71","LARI.LAR","8",1
"71","LARI.LAR","9",3
"71","LARI.LAR","10",0
"72","LARI.LAR","1",14
"72","LARI.LAR","2",1
"72","LARI.LAR","3",4
"72","LARI.LAR","4",1
"72","LARI.LAR","5",2
"72","LARI.LAR","6",21
"72","LARI.LAR","7",84
"72","LARI.LAR","8",1
"72","LARI.LAR","9",3
"72","LARI.LAR","10",0
"18","PICE.GLA","1",64
"18","PICE.GLA","2",7
"18","PICE.GLA","3",148
"18","PICE.GLA","4",13
"18","PICE.GLA","5",386
"18","PICE.GLA","6",655
"18","PICE.GLA","7",1339
"18","PICE.GLA","8",260
"18","PICE.GLA","9",75
"18","PICE.GLA","10",0
"19","PICE.GLA","1",73
"19","PICE.GLA","2",9
"19","PICE.GLA","3",170
"19","PICE.GLA","4",15
"19","PICE.GLA","5",415
"19","PICE.GLA","6",711
"19","PICE.GLA","7",1457
"19","PICE.GLA","8",274
"19","PICE.GLA","9",81
"19","PICE.GLA","10",0
"20","PICE.GLA","1",67
"20","PICE.GLA","2",8
