"landtype","spp","poolID","DOMName","amountAtT0"
18,"ABIE.BAL",1,"VF_A",0
18,"ABIE.BAL",2,"VF_B",0
18,"ABIE.BAL",3,"Fast_A",2
18,"ABIE.BAL",4,"Fast_B",0
18,"ABIE.BAL",5,"MED",5
18,"ABIE.BAL",6,"Slow_A",70
18,"ABIE.BAL",7,"Slow_B",34
18,"ABIE.BAL",8,"Sng_Stem",0
18,"ABIE.BAL",9,"Sng_Oth",1
18,"ABIE.BAL",10,"Extra",0
18,"ACER.RUB",1,"VF_A",0
18,"ACER.RUB",2,"VF_B",0
18,"ACER.RUB",3,"Fast_A",4
18,"ACER.RUB",4,"Fast_B",0
18,"ACER.RUB",5,"MED",7
18,"ACER.RUB",6,"Slow_A",106
18,"ACER.RUB",7,"Slow_B",52
18,"ACER.RUB",8,"Sng_Stem",0
18,"ACER.RUB",9,"Sng_Oth",2
18,"ACER.RUB",10,"Extra",0
18,"ACER.SAH",1,"VF_A",0
18,"ACER.SAH",2,"VF_B",0
18,"ACER.SAH",3,"Fast_A",12
18,"ACER.SAH",4,"Fast_B",0
18,"ACER.SAH",5,"MED",23
18,"ACER.SAH",6,"Slow_A",340
18,"ACER.SAH",7,"Slow_B",166
18,"ACER.SAH",8,"Sng_Stem",0
18,"ACER.SAH",9,"Sng_Oth",6
18,"ACER.SAH",10,"Extra",0
18,"BETU.ALL",1,"VF_A",0
18,"BETU.ALL",2,"VF_B",0
18,"BETU.ALL",3,"Fast_A",14
18,"BETU.ALL",4,"Fast_B",0
18,"BETU.ALL",5,"MED",27
18,"BETU.ALL",6,"Slow_A",399
18,"BETU.ALL",7,"Slow_B",195
18,"BETU.ALL",8,"Sng_Stem",0
18,"BETU.ALL",9,"Sng_Oth",6
18,"BETU.ALL",10,"Extra",0
18,"BETU.PAP",1,"VF_A",0
18,"BETU.PAP",2,"VF_B",0
18,"BETU.PAP",3,"Fast_A",0
18,"BETU.PAP",4,"Fast_B",0
18,"BETU.PAP",5,"MED",0
18,"BETU.PAP",6,"Slow_A",4
18,"BETU.PAP",7,"Slow_B",2
18,"BETU.PAP",8,"Sng_Stem",0
18,"BETU.PAP",9,"Sng_Oth",0
18,"BETU.PAP",10,"Extra",0
18,"FAGU.GRA",1,"VF_A",0
18,"FAGU.GRA",2,"VF_B",0
18,"FAGU.GRA",3,"Fast_A",10
18,"FAGU.GRA",4,"Fast_B",0
18,"FAGU.GRA",5,"MED",20
18,"FAGU.GRA",6,"Slow_A",285
18,"FAGU.GRA",7,"Slow_B",139
18,"FAGU.GRA",8,"Sng_Stem",0
18,"FAGU.GRA",9,"Sng_Oth",5
18,"FAGU.GRA",10,"Extra",0
