"landtype","spp","DOMName","poolID","amountAtT0"
8,"ABIE.BAL","VF_A",1,0
8,"ABIE.BAL","VF_B",2,0
8,"ABIE.BAL","Fast_A",3,0
8,"ABIE.BAL","Fast_B",4,0
8,"ABIE.BAL","MED",5,0
8,"ABIE.BAL","Slow_A",6,6
8,"ABIE.BAL","Slow_B",7,25
8,"ABIE.BAL","Sng_Stem",8,0
8,"ABIE.BAL","Sng_Oth",9,0
8,"ABIE.BAL","Extra",10,0
9,"ABIE.BAL","VF_A",1,0
9,"ABIE.BAL","VF_B",2,0
9,"ABIE.BAL","Fast_A",3,0
9,"ABIE.BAL","Fast_B",4,0
9,"ABIE.BAL","MED",5,0
9,"ABIE.BAL","Slow_A",6,6
9,"ABIE.BAL","Slow_B",7,24
9,"ABIE.BAL","Sng_Stem",8,0
9,"ABIE.BAL","Sng_Oth",9,0
9,"ABIE.BAL","Extra",10,0
16,"ABIE.BAL","VF_A",1,15
16,"ABIE.BAL","VF_B",2,4
16,"ABIE.BAL","Fast_A",3,11
16,"ABIE.BAL","Fast_B",4,4
16,"ABIE.BAL","MED",5,19
16,"ABIE.BAL","Slow_A",6,106
16,"ABIE.BAL","Slow_B",7,308
16,"ABIE.BAL","Sng_Stem",8,10
16,"ABIE.BAL","Sng_Oth",9,2
16,"ABIE.BAL","Extra",10,0
17,"ABIE.BAL","VF_A",1,16
17,"ABIE.BAL","VF_B",2,4
17,"ABIE.BAL","Fast_A",3,12
17,"ABIE.BAL","Fast_B",4,4
17,"ABIE.BAL","MED",5,18
17,"ABIE.BAL","Slow_A",6,98
17,"ABIE.BAL","Slow_B",7,282
17,"ABIE.BAL","Sng_Stem",8,10
17,"ABIE.BAL","Sng_Oth",9,4
17,"ABIE.BAL","Extra",10,0
58,"ABIE.BAL","VF_A",1,17
58,"ABIE.BAL","VF_B",2,5
58,"ABIE.BAL","Fast_A",3,15
58,"ABIE.BAL","Fast_B",4,5
58,"ABIE.BAL","MED",5,25
58,"ABIE.BAL","Slow_A",6,132
58,"ABIE.BAL","Slow_B",7,380
58,"ABIE.BAL","Sng_Stem",8,12
58,"ABIE.BAL","Sng_Oth",9,4
58,"ABIE.BAL","Extra",10,0
59,"ABIE.BAL","VF_A",1,16
59,"ABIE.BAL","VF_B",2,5
59,"ABIE.BAL","Fast_A",3,13
59,"ABIE.BAL","Fast_B",4,5
59,"ABIE.BAL","MED",5,22
59,"ABIE.BAL","Slow_A",6,115
59,"ABIE.BAL","Slow_B",7,338
59,"ABIE.BAL","Sng_Stem",8,11
59,"ABIE.BAL","Sng_Oth",9,4
59,"ABIE.BAL","Extra",10,0
65,"ABIE.BAL","VF_A",1,18
65,"ABIE.BAL","VF_B",2,6
65,"ABIE.BAL","Fast_A",3,16
65,"ABIE.BAL","Fast_B",4,6
65,"ABIE.BAL","MED",5,35
65,"ABIE.BAL","Slow_A",6,153
65,"ABIE.BAL","Slow_B",7,430
65,"ABIE.BAL","Sng_Stem",8,13
65,"ABIE.BAL","Sng_Oth",9,3
65,"ABIE.BAL","Extra",10,0
66,"ABIE.BAL","VF_A",1,22
66,"ABIE.BAL","VF_B",2,6
66,"ABIE.BAL","Fast_A",3,19
66,"ABIE.BAL","Fast_B",4,6
66,"ABIE.BAL","MED",5,42
66,"ABIE.BAL","Slow_A",6,184
66,"ABIE.BAL","Slow_B",7,501
66,"ABIE.BAL","Sng_Stem",8,16
66,"ABIE.BAL","Sng_Oth",9,4
66,"ABIE.BAL","Extra",10,0
67,"ABIE.BAL","VF_A",1,18
67,"ABIE.BAL","VF_B",2,6
67,"ABIE.BAL","Fast_A",3,19
67,"ABIE.BAL","Fast_B",4,7
67,"ABIE.BAL","MED",5,48
67,"ABIE.BAL","Slow_A",6,193
67,"ABIE.BAL","Slow_B",7,540
67,"ABIE.BAL","Sng_Stem",8,18
67,"ABIE.BAL","Sng_Oth",9,3
67,"ABIE.BAL","Extra",10,0
68,"ABIE.BAL","VF_A",1,22
68,"ABIE.BAL","VF_B",2,7
68,"ABIE.BAL","Fast_A",3,27
68,"ABIE.BAL","Fast_B",4,7
68,"ABIE.BAL","MED",5,64
68,"ABIE.BAL","Slow_A",6,243
68,"ABIE.BAL","Slow_B",7,661
68,"ABIE.BAL","Sng_Stem",8,26
68,"ABIE.BAL","Sng_Oth",9,8
68,"ABIE.BAL","Extra",10,0
8,"ACER.RUB","VF_A",1,42
8,"ACER.RUB","VF_B",2,3
8,"ACER.RUB","Fast_A",3,8
8,"ACER.RUB","Fast_B",4,3
8,"ACER.RUB","MED",5,0
8,"ACER.RUB","Slow_A",6,65
8,"ACER.RUB","Slow_B",7,132
8,"ACER.RUB","Sng_Stem",8,0
8,"ACER.RUB","Sng_Oth",9,0
8,"ACER.RUB","Extra",10,0
9,"ACER.RUB","VF_A",1,14
9,"ACER.RUB","VF_B",2,1
9,"ACER.RUB","Fast_A",3,2
9,"ACER.RUB","Fast_B",4,1
9,"ACER.RUB","MED",5,0
9,"ACER.RUB","Slow_A",6,18
9,"ACER.RUB","Slow_B",7,36
9,"ACER.RUB","Sng_Stem",8,0
