"landtype","spp","poolID","DOMName","amountAtT0"
16,"ABIE.BAL",1,"VF_A",0
16,"ABIE.BAL",2,"VF_B",0
16,"ABIE.BAL",3,"Fast_A",2
16,"ABIE.BAL",4,"Fast_B",0
16,"ABIE.BAL",5,"MED",1
16,"ABIE.BAL",6,"Slow_A",43
16,"ABIE.BAL",7,"Slow_B",43
16,"ABIE.BAL",8,"Sng_Stem",3
16,"ABIE.BAL",9,"Sng_Oth",1
16,"ABIE.BAL",10,"Extra",0
16,"ACER.RUB",1,"VF_A",0
16,"ACER.RUB",2,"VF_B",0
16,"ACER.RUB",3,"Fast_A",4
16,"ACER.RUB",4,"Fast_B",0
16,"ACER.RUB",5,"MED",3
16,"ACER.RUB",6,"Slow_A",91
16,"ACER.RUB",7,"Slow_B",91
16,"ACER.RUB",8,"Sng_Stem",6
16,"ACER.RUB",9,"Sng_Oth",1
16,"ACER.RUB",10,"Extra",0
16,"ACER.SAH",1,"VF_A",0
16,"ACER.SAH",2,"VF_B",0
16,"ACER.SAH",3,"Fast_A",9
16,"ACER.SAH",4,"Fast_B",0
16,"ACER.SAH",5,"MED",5
16,"ACER.SAH",6,"Slow_A",185
16,"ACER.SAH",7,"Slow_B",184
16,"ACER.SAH",8,"Sng_Stem",13
16,"ACER.SAH",9,"Sng_Oth",2
16,"ACER.SAH",10,"Extra",0
16,"BETU.ALL",1,"VF_A",0
16,"BETU.ALL",2,"VF_B",0
16,"BETU.ALL",3,"Fast_A",1
16,"BETU.ALL",4,"Fast_B",0
16,"BETU.ALL",5,"MED",1
16,"BETU.ALL",6,"Slow_A",25
16,"BETU.ALL",7,"Slow_B",25
16,"BETU.ALL",8,"Sng_Stem",2
16,"BETU.ALL",9,"Sng_Oth",0
16,"BETU.ALL",10,"Extra",0
16,"BETU.PAP",1,"VF_A",0
16,"BETU.PAP",2,"VF_B",0
16,"BETU.PAP",3,"Fast_A",3
16,"BETU.PAP",4,"Fast_B",0
16,"BETU.PAP",5,"MED",2
16,"BETU.PAP",6,"Slow_A",67
16,"BETU.PAP",7,"Slow_B",67
16,"BETU.PAP",8,"Sng_Stem",5
16,"BETU.PAP",9,"Sng_Oth",1
16,"BETU.PAP",10,"Extra",0
16,"FAGU.GRA",1,"VF_A",0
16,"FAGU.GRA",2,"VF_B",0
16,"FAGU.GRA",3,"Fast_A",13
16,"FAGU.GRA",4,"Fast_B",0
16,"FAGU.GRA",5,"MED",8
16,"FAGU.GRA",6,"Slow_A",283
16,"FAGU.GRA",7,"Slow_B",282
16,"FAGU.GRA",8,"Sng_Stem",20
16,"FAGU.GRA",9,"Sng_Oth",3
16,"FAGU.GRA",10,"Extra",0
16,"LARI.LAR",1,"VF_A",0
16,"LARI.LAR",2,"VF_B",0
16,"LARI.LAR",3,"Fast_A",2
16,"LARI.LAR",4,"Fast_B",0
16,"LARI.LAR",5,"MED",1
