LandisData "ForC Succession"

ClimateTable
>>Time	Eco	AvgT
>>Step		(C)
0	28	4.651
0	29	4.539
0	130	2.921
0	131	2.932
0	132	3.151
0	133	3.783
0	134	3.278
0	135	3.358
0	136	3.133
0	137	3.26
0	217	1.769
0	218	1.373
0	219	1.338
0	220	1.678
0	221	2.256
0	222	0.863
0	223	0.838
0	378	3.85
0	379	3.664
10	28	5.105
10	29	4.993
10	130	3.375
10	131	3.386
10	132	3.605
10	133	4.237
10	134	3.732
10	135	3.812
10	136	3.587
10	137	3.714
10	217	2.223
10	218	1.827
10	219	1.792
10	220	2.132
10	221	2.71
10	222	1.317
10	223	1.292
10	378	4.304
10	379	4.118
20	28	5.623
20	29	5.511
20	130	3.893
20	131	3.904
20	132	4.123
20	133	4.755
20	134	4.25
20	135	4.33
20	136	4.105
20	137	4.232
20	217	2.741
20	218	2.345
20	219	2.31
20	220	2.65
20	221	3.228
20	222	1.835
20	223	1.81
20	378	4.822
20	379	4.636
30	28	6.203
30	29	6.091
30	130	4.473
30	131	4.484
30	132	4.702
30	133	5.334
30	134	4.829
30	135	4.91
30	136	4.684
30	137	4.811
30	217	3.321
30	218	2.925
30	219	2.89
30	220	3.23
30	221	3.808
30	222	2.414
30	223	2.39
30	378	5.402
30	379	5.216
40	28	6.842
40	29	6.729
40	130	5.111
40	131	5.122
40	132	5.341
40	133	5.973
40	134	5.468
40	135	5.548
40	136	5.323
40	137	5.45
40	217	3.959
40	218	3.563
40	219	3.529
40	220	3.868
40	221	4.447
40	222	3.053
40	223	3.029
40	378	6.04
40	379	5.854
50	28	7.537
50	29	7.425
50	130	5.807
50	131	5.818
50	132	6.036
50	133	6.668
50	134	6.163
50	135	6.244
50	136	6.018
50	137	6.145
50	217	4.655
50	218	4.259
50	219	4.224
50	220	4.564
50	221	5.142
50	222	3.748
50	223	3.724
50	378	6.736
50	379	6.55
60	28	8.287
60	29	8.175
60	130	6.557
60	131	6.568
60	132	6.786
60	133	7.418
60	134	6.913
60	135	6.994
60	136	6.768
60	137	6.895
60	217	5.405
60	218	5.009
60	219	4.974
60	220	5.314
60	221	5.892
60	222	4.498
60	223	4.474
60	378	7.486
60	379	7.3
70	28	9.089
70	29	8.977
70	130	7.359
70	131	7.37
70	132	7.588
70	133	8.22
70	134	7.715
70	135	7.796
70	136	7.57
70	137	7.697
70	217	6.207
70	218	5.811
70	219	5.776
70	220	6.116
70	221	6.694
70	222	5.3
70	223	5.276
70	378	8.288
70	379	8.102
80	28	9.941
80	29	9.829
80	130	8.211
80	131	8.222
80	132	8.44
80	133	9.072
80	134	8.568
80	135	8.648
80	136	8.423
80	137	8.549
80	217	7.059
80	218	6.663
80	219	6.628
80	220	6.968
80	221	7.546
80	222	6.152
80	223	6.128
80	378	9.14
80	379	8.954
90	28	10.84
90	29	10.728
90	130	9.11
90	131	9.121
90	132	9.34
90	133	9.972
90	134	9.467
90	135	9.547
90	136	9.322
90	137	9.449
90	217	7.958
90	218	7.562
90	219	7.528
90	220	7.867
90	221	8.446
90	222	7.052
90	223	7.028
90	378	10.039
90	379	9.853
