LandisData "ForC Succession"

ClimateTable
>>Time	Eco	AvgT
>>Step		(C)
0	8	6.9
0	9	6.916
0	16	6.465
0	17	6.487
0	58	5.678
0	59	6.023
0	65	4.619
0	66	4.714
0	67	4.961
0	68	4.979
10	8	7.483
10	9	7.499
10	16	7.048
10	17	7.07
10	58	6.261
10	59	6.606
10	65	5.202
10	66	5.297
10	67	5.544
10	68	5.562
20	8	8.129
20	9	8.144
20	16	7.693
20	17	7.715
20	58	6.906
20	59	7.252
20	65	5.847
20	66	5.942
20	67	6.189
20	68	6.207
30	8	8.835
30	9	8.85
30	16	8.399
30	17	8.421
30	58	7.612
30	59	7.957
30	65	6.553
30	66	6.648
30	67	6.895
30	68	6.913
40	8	9.599
40	9	9.615
40	16	9.164
40	17	9.186
40	58	8.377
40	59	8.722
40	65	7.318
40	66	7.413
40	67	7.66
40	68	7.678
50	8	10.421
50	9	10.437
50	16	9.986
50	17	10.007
50	58	9.199
50	59	9.544
50	65	8.14
50	66	8.235
50	67	8.482
50	68	8.5
60	8	11.298
60	9	11.314
60	16	10.863
60	17	10.885
60	58	10.076
60	59	10.421
60	65	9.017
60	66	9.112
60	67	9.359
60	68	9.377
70	8	12.229
70	9	12.245
70	16	11.794
70	17	11.816
70	58	11.007
70	59	11.352
70	65	9.948
70	66	10.043
70	67	10.29
70	68	10.308
