"simID","areaName","scenario","mgmtScenario","mgmtScenarioName","replicate","Time","species","BioToFPS_tonnesCTotal","areaManagedTotal_ha","areaHarvestedTotal_ha"
"00","Hereford","baseline","1","1",1,1,"ABIE.BAL",321.2,5668.75,575
"00","Hereford","baseline","1","1",1,1,"ACER.RUB",35.72,5668.75,575
"00","Hereford","baseline","1","1",1,1,"ACER.SAH",613.82,5668.75,575
"00","Hereford","baseline","1","1",1,1,"BETU.ALL",233.12,5668.75,575
"00","Hereford","baseline","1","1",1,1,"BETU.PAP",406.8,5668.75,575
"00","Hereford","baseline","1","1",1,1,"PICE.MAR",19.73,5668.75,575
"00","Hereford","baseline","1","1",1,1,"PICE.RUB",829.12,5668.75,575
"00","Hereford","baseline","1","1",1,1,"POPU.TRE",19.86,5668.75,575
"00","Hereford","baseline","1","1",1,2,"ABIE.BAL",225.9,5668.75,562.5
"00","Hereford","baseline","1","1",1,2,"ACER.RUB",39.74,5668.75,562.5
"00","Hereford","baseline","1","1",1,2,"ACER.SAH",1604.02,5668.75,562.5
"00","Hereford","baseline","1","1",1,2,"BETU.ALL",663.25,5668.75,562.5
"00","Hereford","baseline","1","1",1,2,"BETU.PAP",56.14,5668.75,562.5
"00","Hereford","baseline","1","1",1,2,"FAGU.GRA",0,5668.75,562.5
"00","Hereford","baseline","1","1",1,2,"PICE.GLA",55.94,5668.75,562.5
"00","Hereford","baseline","1","1",1,2,"PICE.RUB",432.61,5668.75,562.5
"00","Hereford","baseline","1","1",1,2,"POPU.TRE",20.11,5668.75,562.5
"00","Hereford","baseline","1","1",1,3,"ABIE.BAL",153.16,5668.75,568.75
"00","Hereford","baseline","1","1",1,3,"ACER.RUB",208.11,5668.75,568.75
"00","Hereford","baseline","1","1",1,3,"ACER.SAH",1378.35,5668.75,568.75
"00","Hereford","baseline","1","1",1,3,"BETU.ALL",428.68,5668.75,568.75
"00","Hereford","baseline","1","1",1,3,"BETU.PAP",116.6,5668.75,568.75
"00","Hereford","baseline","1","1",1,3,"PICE.GLA",207.98,5668.75,568.75
"00","Hereford","baseline","1","1",1,3,"PICE.RUB",52.84,5668.75,568.75
"00","Hereford","baseline","1","1",1,4,"ABIE.BAL",85.02,5668.75,550
"00","Hereford","baseline","1","1",1,4,"ACER.RUB",501.57,5668.75,550
"00","Hereford","baseline","1","1",1,4,"ACER.SAH",818.34,5668.75,550
"00","Hereford","baseline","1","1",1,4,"BETU.ALL",424.01,5668.75,550
"00","Hereford","baseline","1","1",1,4,"PICE.RUB",55.44,5668.75,550
"00","Hereford","baseline","1","1",1,4,"POPU.TRE",42.04,5668.75,550
"00","Hereford","baseline","1","1",1,5,"ABIE.BAL",605.5,5668.75,550
"00","Hereford","baseline","1","1",1,5,"ACER.RUB",431.44,5668.75,550
"00","Hereford","baseline","1","1",1,5,"ACER.SAH",677.13,5668.75,550
"00","Hereford","baseline","1","1",1,5,"BETU.ALL",386.48,5668.75,550
"00","Hereford","baseline","1","1",1,5,"BETU.PAP",12.68,5668.75,550
"00","Hereford","baseline","1","1",1,5,"FAGU.GRA",316.71,5668.75,550
"00","Hereford","baseline","1","1",1,5,"PICE.RUB",365.2,5668.75,550
"00","Hereford","baseline","1","1",1,6,"ABIE.BAL",1007.38,5668.75,568.75
"00","Hereford","baseline","1","1",1,6,"ACER.RUB",505.96,5668.75,568.75
"00","Hereford","baseline","1","1",1,6,"ACER.SAH",341.52,5668.75,568.75
"00","Hereford","baseline","1","1",1,6,"BETU.ALL",212.45,5668.75,568.75
