"simID","areaName","scenario","mgmt","spinup","replicate"
"00","Hereford","baseline","1",FALSE,1
"01","Hereford","RCP45","1",FALSE,1
"02","Hereford","RCP85","1",FALSE,1
"03","Hereford","baseline","2",FALSE,1
"04","Hereford","RCP45","2",FALSE,1
"05","Hereford","RCP85","2",FALSE,1
"06","Hereford","baseline","3",FALSE,1
"07","Hereford","RCP45","3",FALSE,1
"08","Hereford","RCP85","3",FALSE,1
"09","Hereford","baseline","4",FALSE,1
"10","Hereford","RCP45","4",FALSE,1
"11","Hereford","RCP85","4",FALSE,1
"12","Hereford","baseline","1",FALSE,2
"13","Hereford","RCP45","1",FALSE,2
"14","Hereford","RCP85","1",FALSE,2
"15","Hereford","baseline","2",FALSE,2
"16","Hereford","RCP45","2",FALSE,2
"17","Hereford","RCP85","2",FALSE,2
"18","Hereford","baseline","3",FALSE,2
"19","Hereford","RCP45","3",FALSE,2
"20","Hereford","RCP85","3",FALSE,2
"21","Hereford","baseline","4",FALSE,2
"22","Hereford","RCP45","4",FALSE,2
"23","Hereford","RCP85","4",FALSE,2
"24","ForMont","baseline","0",FALSE,1
"25","ForMont","RCP45","0",FALSE,1
"26","ForMont","RCP85","0",FALSE,1
"27","ForMont","baseline","1",FALSE,1
"28","ForMont","RCP45","1",FALSE,1
"29","ForMont","RCP85","1",FALSE,1
"30","ForMont","baseline","2.1",FALSE,1
"31","ForMont","RCP45","2.1",FALSE,1
"32","ForMont","RCP85","2.1",FALSE,1
"33","ForMont","baseline","2.2",FALSE,1
"34","ForMont","RCP45","2.2",FALSE,1
"35","ForMont","RCP85","2.2",FALSE,1
"36","ForMont","baseline","2.3",FALSE,1
"37","ForMont","RCP45","2.3",FALSE,1
"38","ForMont","RCP85","2.3",FALSE,1
"39","ForMont","baseline","3.1",FALSE,1
"40","ForMont","RCP45","3.1",FALSE,1
"41","ForMont","RCP85","3.1",FALSE,1
"42","ForMont","baseline","3.2",FALSE,1
"43","ForMont","RCP45","3.2",FALSE,1
"44","ForMont","RCP85","3.2",FALSE,1
"45","ForMont","baseline","3.3",FALSE,1
"46","ForMont","RCP45","3.3",FALSE,1
"47","ForMont","RCP85","3.3",FALSE,1
"48","ForMont","baseline","4.1",FALSE,1
"49","ForMont","RCP45","4.1",FALSE,1
"50","ForMont","RCP85","4.1",FALSE,1
"51","ForMont","baseline","4.2",FALSE,1
"52","ForMont","RCP45","4.2",FALSE,1
"53","ForMont","RCP85","4.2",FALSE,1
"54","ForMont","baseline","4.3",FALSE,1
"55","ForMont","RCP45","4.3",FALSE,1
"56","ForMont","RCP85","4.3",FALSE,1
"57","ForMont","baseline","0",FALSE,2
"58","ForMont","RCP45","0",FALSE,2
"59","ForMont","RCP85","0",FALSE,2
"60","ForMont","baseline","1",FALSE,2
"61","ForMont","RCP45","1",FALSE,2
"62","ForMont","RCP85","1",FALSE,2
"63","ForMont","baseline","2.1",FALSE,2
"64","ForMont","RCP45","2.1",FALSE,2
"65","ForMont","RCP85","2.1",FALSE,2
"66","ForMont","baseline","2.2",FALSE,2
"67","ForMont","RCP45","2.2",FALSE,2
"68","ForMont","RCP85","2.2",FALSE,2
"69","ForMont","baseline","2.3",FALSE,2
"70","ForMont","RCP45","2.3",FALSE,2
"71","ForMont","RCP85","2.3",FALSE,2
"72","ForMont","baseline","3.1",FALSE,2
"73","ForMont","RCP45","3.1",FALSE,2
"74","ForMont","RCP85","3.1",FALSE,2
"75","ForMont","baseline","3.2",FALSE,2
"76","ForMont","RCP45","3.2",FALSE,2
"77","ForMont","RCP85","3.2",FALSE,2
"78","ForMont","baseline","3.3",FALSE,2
"79","ForMont","RCP45","3.3",FALSE,2
"80","ForMont","RCP85","3.3",FALSE,2
"81","ForMont","baseline","4.1",FALSE,2
"82","ForMont","RCP45","4.1",FALSE,2
"83","ForMont","RCP85","4.1",FALSE,2
"84","ForMont","baseline","4.2",FALSE,2
"85","ForMont","RCP45","4.2",FALSE,2
"86","ForMont","RCP85","4.2",FALSE,2
"87","ForMont","baseline","4.3",FALSE,2
"88","ForMont","RCP45","4.3",FALSE,2
"89","ForMont","RCP85","4.3",FALSE,2
