"simID","areaName","scenario","mgmt","cropped","spinup","fire","BDA","wind","harvest","replicate"
"000","ForMont","baseline","0",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"001","ForMont","RCP45","0",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"002","ForMont","RCP85","0",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"003","ForMont","baseline","1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"004","ForMont","RCP45","1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"005","ForMont","RCP85","1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"006","ForMont","baseline","2.1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"007","ForMont","RCP45","2.1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"008","ForMont","RCP85","2.1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"009","ForMont","baseline","2.2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"010","ForMont","RCP45","2.2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"011","ForMont","RCP85","2.2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"012","ForMont","baseline","2.3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"013","ForMont","RCP45","2.3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"014","ForMont","RCP85","2.3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"015","ForMont","baseline","3.1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"016","ForMont","RCP45","3.1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"017","ForMont","RCP85","3.1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"018","ForMont","baseline","3.2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"019","ForMont","RCP45","3.2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"020","ForMont","RCP85","3.2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"021","ForMont","baseline","3.3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"022","ForMont","RCP45","3.3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"023","ForMont","RCP85","3.3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"024","ForMont","baseline","4.1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"025","ForMont","RCP45","4.1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"026","ForMont","RCP85","4.1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"027","ForMont","baseline","4.2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"028","ForMont","RCP45","4.2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"029","ForMont","RCP85","4.2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"030","ForMont","baseline","4.3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"031","ForMont","RCP45","4.3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"032","ForMont","RCP85","4.3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"033","ForMont","baseline","noHarvest",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1
"034","ForMont","RCP45","noHarvest",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1
"035","ForMont","RCP85","noHarvest",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1
"036","ForMont","baseline","0",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"037","ForMont","RCP45","0",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"038","ForMont","RCP85","0",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"039","ForMont","baseline","1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"040","ForMont","RCP45","1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"041","ForMont","RCP85","1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"042","ForMont","baseline","2.1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"043","ForMont","RCP45","2.1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"044","ForMont","RCP85","2.1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"045","ForMont","baseline","2.2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"046","ForMont","RCP45","2.2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"047","ForMont","RCP85","2.2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"048","ForMont","baseline","2.3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"049","ForMont","RCP45","2.3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"050","ForMont","RCP85","2.3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"051","ForMont","baseline","3.1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"052","ForMont","RCP45","3.1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"053","ForMont","RCP85","3.1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"054","ForMont","baseline","3.2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"055","ForMont","RCP45","3.2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"056","ForMont","RCP85","3.2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"057","ForMont","baseline","3.3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"058","ForMont","RCP45","3.3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"059","ForMont","RCP85","3.3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"060","ForMont","baseline","4.1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"061","ForMont","RCP45","4.1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"062","ForMont","RCP85","4.1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"063","ForMont","baseline","4.2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"064","ForMont","RCP45","4.2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
