simID,areaName,scenario,mgmt,cropped,spinup,fire,BDA,wind,harvest,replicate
0,Hereford,baseline,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
1,Hereford,baseline,2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
2,Hereford,baseline,3,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
3,Hereford,baseline,4,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
4,ForMont,baseline,0,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
5,ForMont,baseline,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
6,ForMont,baseline,2.1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
7,ForMont,baseline,2.2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
8,ForMont,baseline,2.3,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
9,ForMont,baseline,3.1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
10,ForMont,baseline,3.2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
11,ForMont,baseline,3.3,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
12,ForMont,baseline,4.1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
13,ForMont,baseline,4.2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
14,ForMont,baseline,4.3,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
15,Hereford,baseline,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
16,Hereford,baseline,2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
17,Hereford,baseline,3,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
18,Hereford,baseline,4,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
19,ForMont,baseline,0,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
20,ForMont,baseline,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
21,ForMont,baseline,2.1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
22,ForMont,baseline,2.2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
23,ForMont,baseline,2.3,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
24,ForMont,baseline,3.1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
25,ForMont,baseline,3.2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
26,ForMont,baseline,3.3,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
27,ForMont,baseline,4.1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
28,ForMont,baseline,4.2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
29,ForMont,baseline,4.3,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
30,Hereford,baseline,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
31,Hereford,baseline,2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
32,Hereford,baseline,3,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
33,Hereford,baseline,4,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
34,ForMont,baseline,0,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
35,ForMont,baseline,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
36,ForMont,baseline,2.1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
37,ForMont,baseline,2.2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
38,ForMont,baseline,2.3,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
39,ForMont,baseline,3.1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
40,ForMont,baseline,3.2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
41,ForMont,baseline,3.3,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
42,ForMont,baseline,4.1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
43,ForMont,baseline,4.2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
44,ForMont,baseline,4.3,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
45,Hereford,baseline,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4
46,Hereford,baseline,2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4
47,Hereford,baseline,3,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4
48,Hereford,baseline,4,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4
49,ForMont,baseline,0,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4
50,ForMont,baseline,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4
51,ForMont,baseline,2.1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4
52,ForMont,baseline,2.2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4
53,ForMont,baseline,2.3,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4
54,ForMont,baseline,3.1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4
55,ForMont,baseline,3.2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4
56,ForMont,baseline,3.3,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4
57,ForMont,baseline,4.1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4
58,ForMont,baseline,4.2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4
