"simID","areaName","scenario","mgmt","cropped","spinup","fire","BDA","wind","harvest","replicate"
"00","Hereford","baseline","1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"01","Hereford","RCP45","1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"02","Hereford","RCP85","1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"03","Hereford","baseline","2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"04","Hereford","RCP45","2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"05","Hereford","RCP85","2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"06","Hereford","baseline","3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"07","Hereford","RCP45","3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"08","Hereford","RCP85","3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"09","Hereford","baseline","4",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"10","Hereford","RCP45","4",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"11","Hereford","RCP85","4",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"12","Hereford","baseline","noHarvest",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1
"13","Hereford","RCP45","noHarvest",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1
"14","Hereford","RCP85","noHarvest",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1
"15","Hereford","baseline","1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"16","Hereford","RCP45","1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"17","Hereford","RCP85","1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"18","Hereford","baseline","2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"19","Hereford","RCP45","2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"20","Hereford","RCP85","2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"21","Hereford","baseline","3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"22","Hereford","RCP45","3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"23","Hereford","RCP85","3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"24","Hereford","baseline","4",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"25","Hereford","RCP45","4",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"26","Hereford","RCP85","4",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"27","Hereford","baseline","noHarvest",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2
"28","Hereford","RCP45","noHarvest",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2
"29","Hereford","RCP85","noHarvest",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2
"30","Hereford","baseline","1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"31","Hereford","RCP45","1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"32","Hereford","RCP85","1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"33","Hereford","baseline","2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"34","Hereford","RCP45","2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"35","Hereford","RCP85","2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"36","Hereford","baseline","3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"37","Hereford","RCP45","3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"38","Hereford","RCP85","3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"39","Hereford","baseline","4",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"40","Hereford","RCP45","4",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"41","Hereford","RCP85","4",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"42","Hereford","baseline","noHarvest",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,3
"43","Hereford","RCP45","noHarvest",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,3
"44","Hereford","RCP85","noHarvest",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,3
"45","Hereford","baseline","1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4
"46","Hereford","RCP45","1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4
"47","Hereford","RCP85","1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4
"48","Hereford","baseline","2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4
"49","Hereford","RCP45","2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4
"50","Hereford","RCP85","2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4
"51","Hereford","baseline","3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4
"52","Hereford","RCP45","3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4
"53","Hereford","RCP85","3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4
"54","Hereford","baseline","4",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4
"55","Hereford","RCP45","4",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4
"56","Hereford","RCP85","4",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4
"57","Hereford","baseline","noHarvest",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,4
"58","Hereford","RCP45","noHarvest",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,4
"59","Hereford","RCP85","noHarvest",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,4
"60","Hereford","baseline","1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5
"61","Hereford","RCP45","1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5
"62","Hereford","RCP85","1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5
"63","Hereford","baseline","2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5
"64","Hereford","RCP45","2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5
