simID,areaName,scenario,mgmt,cropped,spinup,fire,BDA,wind,harvest,replicate
0,Maskinonge,baseline,baseline,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
1,Maskinonge,RCP45,baseline,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
2,Maskinonge,RCP85,baseline,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
3,Maskinonge,baseline,baseline,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2
4,Maskinonge,RCP45,baseline,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2
5,Maskinonge,RCP85,baseline,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2
6,Maskinonge,baseline,baseline,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3
7,Maskinonge,RCP45,baseline,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3
8,Maskinonge,RCP85,baseline,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3
9,Maskinonge,baseline,baseline,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,4
10,Maskinonge,RCP45,baseline,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,4
11,Maskinonge,RCP85,baseline,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,4
12,Maskinonge,baseline,baseline,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,5
13,Maskinonge,RCP45,baseline,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,5
14,Maskinonge,RCP85,baseline,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,5
15,Maskinonge,baseline,conservation,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1
16,Maskinonge,RCP45,conservation,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1
17,Maskinonge,RCP85,conservation,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1
18,Maskinonge,baseline,conservation,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2
19,Maskinonge,RCP45,conservation,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2
20,Maskinonge,RCP85,conservation,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2
21,Maskinonge,baseline,conservation,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,3
22,Maskinonge,RCP45,conservation,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,3
23,Maskinonge,RCP85,conservation,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,3
24,Maskinonge,baseline,conservation,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,4
25,Maskinonge,RCP45,conservation,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,4
26,Maskinonge,RCP85,conservation,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,4
27,Maskinonge,baseline,conservation,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,5
28,Maskinonge,RCP45,conservation,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,5
29,Maskinonge,RCP85,conservation,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,5
